Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
289,Moritz Wagner,23,BOS,C,9,1,6.8,0.4,1.6,.286,0.2,0.7,.333,0.2,0.9,.250,.357,0.1,0.2,.500,0.3,1.8,2.1,0.7,0.0,0.1,1.0,1.1,1.2,,wagnemo01
289,Moritz Wagner,23,ORL,C,11,10,26.0,3.5,8.5,.409,1.5,3.9,.372,2.0,4.5,.440,.495,2.6,3.0,.879,1.0,3.9,4.9,1.1,0.4,0.8,1.2,3.3,11.0,,wagnemo01
290,Georges Niang,27,UTA,PF,72,10,16.0,2.5,5.6,.437,1.7,4.1,.425,0.7,1.6,.469,.590,0.3,0.3,.957,0.4,2.1,2.4,0.8,0.3,0.1,0.7,1.6,6.9,,niangge01
291,Gorgui Dieng,31,2TM,C,38,1,14.5,2.2,4.3,.521,0.8,1.8,.429,1.4,2.4,.591,.613,1.5,1.8,.866,1.1,2.6,3.7,1.3,0.7,0.4,0.8,1.5,6.8,,dienggo01
291,Gorgui Dieng,31,MEM,C,22,1,16.9,2.5,4.9,.519,1.0,2.2,.479,1.5,2.7,.550,.625,1.7,2.0,.884,1.3,3.2,4.5,1.3,0.8,0.6,1.0,1.7,7.9,,dienggo01
291,Gorgui Dieng,31,SAS,C,16,0,11.3,1.8,3.4,.527,0.4,1.4,.318,1.4,2.1,.667,.591,1.3,1.5,.833,0.8,1.9,2.6,1.2,0.6,0.1,0.6,1.1,5.3,,dienggo01
292,Pat Connaughton,28,MIL,SG,69,4,22.8,2.4,5.6,.434,1.5,3.9,.371,1.0,1.7,.583,.565,0.4,0.6,.775,0.9,3.9,4.8,1.2,0.7,0.3,0.5,1.4,6.8,,connapa01
293,Killian Hayes,19,DET,PG,26,18,25.8,2.7,7.7,.353,0.8,2.8,.278,2.0,5.0,.395,.403,0.5,0.7,.824,0.2,2.4,2.7,5.3,1.0,0.4,3.2,2.2,6.8,,hayeski01
294,Derrick Jones Jr.,23,POR,SF,58,43,22.7,2.5,5.2,.484,0.7,2.3,.316,1.8,2.9,.619,.554,1.0,1.6,.648,1.3,2.2,3.5,0.8,0.6,0.9,0.6,2.2,6.8,,jonesde02
295,Jaden McDaniels,20,MIN,PF,63,27,24.0,2.6,5.8,.447,1.1,3.1,.364,1.5,2.7,.544,.545,0.4,0.7,.600,0.8,2.9,3.7,1.1,0.6,1.0,0.7,2.7,6.8,,mcdanja02
296,Justise Winslow,24,MEM,SF,26,1,19.5,2.8,8.1,.352,0.4,2.1,.185,2.5,6.0,.410,.376,0.8,1.3,.571,0.7,3.8,4.5,1.9,0.6,0.5,1.4,1.8,6.8,,winslju01
297,Dennis Smith Jr.,23,2TM,PG,23,9,18.3,2.5,6.3,.400,0.8,2.5,.328,1.7,3.8,.448,.466,0.8,1.1,.731,0.5,1.9,2.4,3.3,1.0,0.6,1.1,1.6,6.7,,smithde03
297,Dennis Smith Jr.,23,NYK,PG,3,0,9.3,0.7,3.3,.200,0.0,1.3,.000,0.7,2.0,.333,.200,1.7,2.0,.833,0.0,0.7,0.7,1.0,1.0,0.0,0.3,1.3,3.0,,smithde03
297,Dennis Smith Jr.,23,DET,PG,20,9,19.6,2.8,6.8,.415,1.0,2.7,.352,1.9,4.1,.457,.485,0.7,1.0,.700,0.6,2.1,2.7,3.7,1.0,0.7,1.3,1.7,7.3,,smithde03
298,Jeff Teague,32,2TM,PG,55,7,17.3,2.2,5.2,.433,0.7,1.5,.439,1.6,3.7,.431,.496,1.6,1.9,.848,0.3,1.3,1.6,2.4,0.6,0.2,1.2,1.0,6.7,,teaguje01
298,Jeff Teague,32,BOS,PG,34,5,18.1,2.3,5.5,.415,0.8,1.6,.464,1.5,3.9,.394,.484,1.5,1.8,.836,0.3,1.4,1.7,2.1,0.8,0.2,1.1,1.3,6.9,,teaguje01
298,Jeff Teague,32,MIL,PG,21,2,15.9,2.1,4.6,.469,0.5,1.2,.385,1.7,3.3,.500,.521,1.8,2.1,.864,0.2,1.2,1.5,2.8,0.4,0.2,1.2,0.6,6.6,,teaguje01
299,Spencer Dinwiddie,27,BRK,SG,3,3,21.3,2.0,5.3,.375,0.7,2.3,.286,1.3,3.0,.444,.438,2.0,2.0,1.000,0.0,4.3,4.3,3.0,0.7,0.3,1.7,1.3,6.7,,dinwisp01
300,Damyean Dotson,26,CLE,SG,46,7,19.7,2.6,6.4,.406,1.0,3.5,.289,1.6,2.9,.545,.485,0.5,0.8,.667,0.1,1.9,2.0,2.0,0.3,0.1,0.9,0.9,6.7,,dotsoda01
301,Markieff Morris,31,LAL,PF,61,27,19.7,2.5,6.2,.405,1.1,3.4,.311,1.4,2.8,.521,.491,0.6,0.8,.720,0.8,3.6,4.4,1.2,0.4,0.3,0.9,1.7,6.7,,morrima02
